CHAR_1,CHAR_2,CHAR_3,CHAR_5,CHAR_6,CHAR_7,FIRST_2,FIRST_3,FIRST_5,FIRST_6,FIRST_7,LEFTHAND_TEXT,CHAR_5_TEXT,CHAR_6_TEXT,CHAR_7_TEXT,Combined Text,PartSpecific,Part,Area,Type,Extra,Complete,Notes
A,0,2,2,4,.,A0,A02,A02.2,A02.24,A02.24,Other salmonella infections,salmonella,osteomyelitis,.,salmonella osteomyelitis .,other,-,.,Infectious/Parasitic,.,y,.
S,3,0,1,X,X,S3,S30,S30.1,S30.1X,S30.1XX,"Superficial injury of abdomen, lower back, & pelvis",abdominal contusion wall,initial sequela subsequent,.,abdominal contusion wall initial sequela subsequent .,other,abdomen,abdomen,trauma,contusion,y,.
A,4,8,8,.,.,A4,A48,A48.8,A48.8,A48.8,Other bacterial diseases,bacterial diseases,.,.,bacterial diseases . .,other,-,.,Infectious/Parasitic,.,y,.
A,4,9,0,2,.,A4,A49,A49.0,A49.02,A49.02,Bacterial infection of unspecified site,aureus infection methicillin site staphylococcus,resistant,.,aureus infection methicillin site staphylococcus resistant .,other,-,.,Infectious/Parasitic,.,y,.
A,6,9,2,0,.,A6,A69,A69.2,A69.20,A69.20,Other spirochetal infections,disease lyme,.,.,disease lyme . .,other,-,.,Infectious/Parasitic,.,y,.
A,6,9,2,3,.,A6,A69,A69.2,A69.23,A69.23,Other spirochetal infections,disease lyme,arthritis due,.,disease lyme arthritis due .,other,-,.,Infectious/Parasitic,.,y,.
A,8,5,8,.,.,A8,A85,A85.8,A85.8,A85.8,Other viral encephalitis,encephalitis viral,.,.,encephalitis viral . .,other,-,.,Infectious/Parasitic,.,y,.
B,0,0,8,9,.,B0,B00,B00.8,B00.89,B00.89,Herpesviral [herpes simplex] infections,herpesviral,infection,.,herpesviral infection .,other,-,.,Infectious/Parasitic,.,y,.
B,0,7,0,.,.,B0,B07,B07.0,B07.0,B07.0,Viral warts,plantar wart,.,.,plantar wart . .,other,-,.,Infectious/Parasitic,.,y,.
B,0,8,1,.,.,B0,B08,B08.1,B08.1,B08.1,Other viral infections characterized by skin & mucous membrane lesions,contagiosum molluscum,.,.,contagiosum molluscum . .,other,-,.,Infectious/Parasitic,.,y,.
B,3,5,1,.,.,B3,B35,B35.1,B35.1,B35.1,Dermatophytosis,tinea unguium,.,.,tinea unguium . .,other,-,.,Infectious/Parasitic,.,y,.
B,3,6,9,.,.,B3,B36,B36.9,B36.9,B36.9,Other superficial mycoses,mycosis superficial,.,.,mycosis superficial . .,other,-,.,Infectious/Parasitic,.,y,.
B,4,4,8,9,.,B4,B44,B44.8,B44.89,B44.89,Aspergillosis,aspergillosis,forms,.,aspergillosis forms .,other,-,.,Infectious/Parasitic,.,y,.
S,3,9,0,1,1,S3,S39,S39.0,S39.01,S39.011,"Other & unspecified injuries of abdomen, lower back, & pelvis",fascia muscle tendon,strain,abdomen,fascia muscle tendon strain abdomen,abdomen,abdomen,abdomen,trauma,strain,y,.
S,3,9,0,1,2,S3,S39,S39.0,S39.01,S39.012,"Other & unspecified injuries of abdomen, lower back, & pelvis",fascia muscle tendon,strain,lower,fascia muscle tendon strain lower,muscle/facia,abdomen,abdomen,trauma,strain,y,.
C,4,0,2,1,.,C4,C40,C40.2,C40.21,C40.21,Malignant neoplasm of bone & articular cartilage of limbs,bones limb lower malignant neoplasm,right,.,bones limb lower malignant neoplasm right .,other,-,.,tumor,.,y,.
C,4,0,2,2,.,C4,C40,C40.2,C40.22,C40.22,Malignant neoplasm of bone & articular cartilage of limbs,bones limb lower malignant neoplasm,left,.,bones limb lower malignant neoplasm left .,other,-,.,tumor,.,y,.
